TA1AAM ✅ (Alfa, Alfa, Mike) 🟢 🟢 ⚫️
TA1AVG ✅ (Alfa, Victor, Golf)
TA1BED ✅ (Bravo, Echo, Delta)
TA1BJF ✅ (Bravo, Juliett, Foxtrot)
TA1BJM ✅ (Bravo, Juliett, Mike)
TA1BJO ✅ (Bravo, Juliett, Oscar)
TA1BJP ✅ (Bravo, Juliett, Papa)
TA1BJQ ✅ (Bravo, Juliett, Quebec)
TA1BJS ✅ (Bravo, Juliett, Sierra)
TA1BJU ✅ (Bravo, Juliett, Uniform)
TA1BJV ✅ (Bravo, Juliett, Victor)
TA1BJW ✅ (Bravo, Juliett, Whiskey)
TA1BJX ✅ (Bravo, Juliett, X-ray)
TA1BJZ ✅ (Bravo, Juliett, Zulu)
TA1BKG ✅ (Bravo, Kilo, Golf)
TA1BKH ✅ (Bravo, Kilo, Hotel)
TA1BKN ✅ (Bravo, Kilo, November)
TA1BKQ ✅ (Bravo, Kilo, Quebec)
TA1BKU ✅ (Bravo, Kilo, Uniform)
TA1BKV ✅ (Bravo, Kilo, Victor)
TA1BLE ✅ (Bravo, Lima, Echo)
TA1BLF ✅ (Bravo, Lima, Foxtrot)
TA1BLH ✅ (Bravo, Lima, Hotel)
TA1BLI ✅ (Bravo, Lima, India)
TA1BLJ ✅ (Bravo, Lima, Juliett)
TA1BLO ✅ (Bravo, Lima, Oscar)
TA1BLP ✅ (Bravo, Lima, Papa)
TA1BLQ ✅ (Bravo, Lima, Quebec)
TA1BLS ✅ (Bravo, Lima, Sierra)
TA1BLV ✅ (Bravo, Lima, Victor)
TA1BLW ✅ (Bravo, Lima, Whiskey)
TA1BLX ✅ (Bravo, Lima, X-ray)
TA1BLZ ✅ (Bravo, Lima, Zulu)
TA1BMB ✅ (Bravo, Mike, Bravo) 🟢 ⚫️ 🟢
TA1BMF ✅ (Bravo, Mike, Foxtrot)
TA1BMH ✅ (Bravo, Mike, Hotel)
TA1BMI ✅ (Bravo, Mike, India)
TA1BMJ ✅ (Bravo, Mike, Juliett)
TA1BML ✅ (Bravo, Mike, Lima)
TA1BMP ✅ (Bravo, Mike, Papa)
TA1BMQ ✅ (Bravo, Mike, Quebec)
TA1BMR ✅ (Bravo, Mike, Romeo)
TA1BMX ✅ (Bravo, Mike, X-ray)
TA1BMY ✅ (Bravo, Mike, Yankee)
TA1BNB ✅ (Bravo, November, Bravo) 🟢 ⚫️ 🟢
TA1BNC ✅ (Bravo, November, Charlie)
TA1BND ✅ (Bravo, November, Delta)
TA1BNE ✅ (Bravo, November, Echo)
TA1BNF ✅ (Bravo, November, Foxtrot)
TA1BNG ✅ (Bravo, November, Golf)
TA1BNH ✅ (Bravo, November, Hotel)
TA1BNI ✅ (Bravo, November, India)
TA1BNJ ✅ (Bravo, November, Juliett)
TA1BNK ✅ (Bravo, November, Kilo)
TA1BNL ✅ (Bravo, November, Lima)
TA1BNM ✅ (Bravo, November, Mike)
TA1BNN ✅ (Bravo, November, November) ⚫️ 🟢 🟢
TA1BNP ✅ (Bravo, November, Papa)
TA1BNQ ✅ (Bravo, November, Quebec)
TA1BNT ✅ (Bravo, November, Tango)
TA1BNU ✅ (Bravo, November, Uniform)
TA1BNV ✅ (Bravo, November, Victor)
TA1BNW ✅ (Bravo, November, Whiskey)
TA1BNX ✅ (Bravo, November, X-ray)
TA1BNY ✅ (Bravo, November, Yankee)
TA1BNZ ✅ (Bravo, November, Zulu)
TA1BOC ✅ (Bravo, Oscar, Charlie)
TA1BOD ✅ (Bravo, Oscar, Delta)
TA1BOF ✅ (Bravo, Oscar, Foxtrot)
TA1BOG ✅ (Bravo, Oscar, Golf)
TA1BOH ✅ (Bravo, Oscar, Hotel)
TA1BOI ✅ (Bravo, Oscar, India)
TA1BOJ ✅ (Bravo, Oscar, Juliett)
TA1BOK ✅ (Bravo, Oscar, Kilo)
TA1BOL ✅ (Bravo, Oscar, Lima)
TA1BON ✅ (Bravo, Oscar, November)
TA1BOQ ✅ (Bravo, Oscar, Quebec)
TA1BOU ✅ (Bravo, Oscar, Uniform)
TA1BOV ✅ (Bravo, Oscar, Victor)
TA1BOW ✅ (Bravo, Oscar, Whiskey)
TA1BOY ✅ (Bravo, Oscar, Yankee)
TA1BPA ✅ (Bravo, Papa, Alfa)
TA1BPB ✅ (Bravo, Papa, Bravo) 🟢 ⚫️ 🟢
TA1BPC ✅ (Bravo, Papa, Charlie)
TA1BPD ✅ (Bravo, Papa, Delta)
TA1BPE ✅ (Bravo, Papa, Echo)
TA1BPF ✅ (Bravo, Papa, Foxtrot)
TA1BPG ✅ (Bravo, Papa, Golf)
TA1BPH ✅ (Bravo, Papa, Hotel)
TA1BPI ✅ (Bravo, Papa, India)
TA1BPJ ✅ (Bravo, Papa, Juliett)
TA1BPK ✅ (Bravo, Papa, Kilo)
TA1BPL ✅ (Bravo, Papa, Lima)
TA1BPM ✅ (Bravo, Papa, Mike)
TA1BPN ✅ (Bravo, Papa, November)
TA1BPO ✅ (Bravo, Papa, Oscar)
TA1BPP ✅ (Bravo, Papa, Papa) ⚫️ 🟢 🟢
TA1BPQ ✅ (Bravo, Papa, Quebec)
TA1BPR ✅ (Bravo, Papa, Romeo)
TA1BPS ✅ (Bravo, Papa, Sierra)
TA1BPT ✅ (Bravo, Papa, Tango)
TA1BPU ✅ (Bravo, Papa, Uniform)
TA1BPV ✅ (Bravo, Papa, Victor)
TA1BPX ✅ (Bravo, Papa, X-ray)
TA1BPY ✅ (Bravo, Papa, Yankee)
TA1BPZ ✅ (Bravo, Papa, Zulu)
TA1BQA ✅ (Bravo, Quebec, Alfa)
TA1BQC ✅ (Bravo, Quebec, Charlie)
TA1BQD ✅ (Bravo, Quebec, Delta)
TA1BQE ✅ (Bravo, Quebec, Echo)
TA1BQF ✅ (Bravo, Quebec, Foxtrot)
TA1BQG ✅ (Bravo, Quebec, Golf)
TA1BQH ✅ (Bravo, Quebec, Hotel)
TA1BQI ✅ (Bravo, Quebec, India)
TA1BQJ ✅ (Bravo, Quebec, Juliett)
TA1BQK ✅ (Bravo, Quebec, Kilo)
TA1BQL ✅ (Bravo, Quebec, Lima)
TA1BQM ✅ (Bravo, Quebec, Mike)
TA1BQN ✅ (Bravo, Quebec, November)
TA1BQO ✅ (Bravo, Quebec, Oscar)
TA1BQP ✅ (Bravo, Quebec, Papa)
TA1BQQ ✅ (Bravo, Quebec, Quebec) ⚫️ 🟢 🟢
TA1BQR ✅ (Bravo, Quebec, Romeo)
TA1BQT ✅ (Bravo, Quebec, Tango)
TA1BQU ✅ (Bravo, Quebec, Uniform)
TA1BQV ✅ (Bravo, Quebec, Victor)
TA1BQW ✅ (Bravo, Quebec, Whiskey)
TA1BQX ✅ (Bravo, Quebec, X-ray)
TA1BQY ✅ (Bravo, Quebec, Yankee)
TA1BQZ ✅ (Bravo, Quebec, Zulu)
TA1BRD ✅ (Bravo, Romeo, Delta)
TA1BRG ✅ (Bravo, Romeo, Golf)
TA1BRI ✅ (Bravo, Romeo, India)
TA1BRM ✅ (Bravo, Romeo, Mike)
TA1BRP ✅ (Bravo, Romeo, Papa)
TA1BRQ ✅ (Bravo, Romeo, Quebec)
TA1BRR ✅ (Bravo, Romeo, Romeo) ⚫️ 🟢 🟢
TA1BRU ✅ (Bravo, Romeo, Uniform)
TA1BRV ✅ (Bravo, Romeo, Victor)
TA1BRW ✅ (Bravo, Romeo, Whiskey)
TA1BRY ✅ (Bravo, Romeo, Yankee)
TA1BSA ✅ (Bravo, Sierra, Alfa)
TA1BSC ✅ (Bravo, Sierra, Charlie)
TA1BSD ✅ (Bravo, Sierra, Delta)
TA1BSE ✅ (Bravo, Sierra, Echo)
TA1BSF ✅ (Bravo, Sierra, Foxtrot)
TA1BSJ ✅ (Bravo, Sierra, Juliett)
TA1BSL ✅ (Bravo, Sierra, Lima)
TA1BSO ✅ (Bravo, Sierra, Oscar)
TA1BSP ✅ (Bravo, Sierra, Papa)
TA1BSQ ✅ (Bravo, Sierra, Quebec)
TA1BSU ✅ (Bravo, Sierra, Uniform)
TA1BSW ✅ (Bravo, Sierra, Whiskey)
TA1BSX ✅ (Bravo, Sierra, X-ray)
TA1BSZ ✅ (Bravo, Sierra, Zulu)
TA1BTD ✅ (Bravo, Tango, Delta)
TA1BTF ✅ (Bravo, Tango, Foxtrot)
